28-81	0.07
17-61	0.33
2-80	0.12
54-120	0.32
61-76	0.19
47-54	0.6
119-132	0.07
13-14	0.0
76-118	0.08
10-76	0.06
9-86	0.19
25-45	0.04
9-79	0.07
17-86	0.04
3-159	0.07
27-104	0.16
16-51	0.13
25-149	0.27
104-122	0.12
69-159	0.06
15-40	0.06
81-108	0.14
16-20	0.11
32-85	0.13
38-81	0.13
40-83	0.32
69-108	0.24
95-112	0.21
3-96	0.11
6-85	0.34
79-118	0.34
25-60	0.03
31-84	0.07
27-69	0.18
6-25	0.03
25-44	0.04
13-115	0.02
76-119	0.11
31-97	0.07
17-23	0.38
17-120	0.38
127-136	1.23
86-104	0.04
3-26	0.11
120-123	0.22
16-122	0.1
107-134	0.12
17-117	0.15
36-85	0.13
17-134	0.04
35-83	0.09
5-132	0.09
60-123	0.25
107-159	0.07
4-107	0.1
53-81	0.11
22-107	0.18
16-33	0.11
54-145	0.46
21-93	0.15
20-54	0.85
15-78	0.28
79-98	0.47
76-98	0.11
30-70	0.45
25-152	0.15
76-78	0.25
41-104	0.17
70-140	0.33
70-85	0.06
16-118	0.07
29-85	0.76
45-76	0.3
2-109	0.16
3-105	0.18
104-139	0.21
85-138	0.35
83-98	0.47
9-46	0.11
99-132	0.11
22-84	0.55
2-124	0.03
51-85	0.3
20-81	0.23
27-84	0.15
25-146	0.58
9-117	0.33
30-104	0.18
85-145	0.27
63-104	0.07
3-146	0.23
63-70	0.35
25-141	0.1
22-123	0.08
54-70	1.67
81-113	0.22
21-83	0.22
13-42	0.01
17-33	0.04
97-134	0.05
81-145	0.06
15-29	0.14
123-155	0.05
81-134	0.06
49-123	0.41
9-145	0.24
36-69	0.09
47-104	0.28
5-16	0.2
53-69	0.39
31-32	0.48
44-85	0.29
46-70	0.28
16-119	0.21
10-112	0.22
35-85	0.28
34-85	0.37
2-141	0.16
46-104	0.3
99-104	0.54
36-119	0.43
27-112	0.27
25-145	0.03
54-107	0.46
105-132	0.14
13-48	0.01
104-134	0.15
81-159	0.31
83-122	0.2
70-118	0.38
47-76	0.25
15-122	0.17
29-97	0.19
9-43	0.24
15-145	0.17
20-69	0.08
97-120	0.08
97-99	0.06
76-120	0.21
6-84	0.24
31-93	0.07
63-97	0.06
3-45	0.11
15-47	0.19
10-83	0.27
23-123	0.07
93-107	0.06
3-139	0.05
28-123	0.05
67-83	0.28
9-60	0.36
70-145	0.7
83-120	0.25
85-99	0.29
13-110	0.03
36-118	0.58
51-70	0.41
3-64	0.1
36-134	0.06
5-123	0.27
76-108	0.24
15-41	0.29
4-84	0.25
32-123	0.07
3-34	0.05
86-123	0.05
83-119	0.05
9-27	0.06
54-98	0.07
9-134	0.05
81-120	0.16
3-149	0.23
30-97	0.2
51-69	0.24
38-54	0.41
9-49	0.35
3-67	0.29
51-132	0.42
83-108	0.2
76-148	0.29
54-79	0.11
15-34	0.17
35-69	0.06
15-20	0.06
69-138	0.06
70-155	0.27
3-10	0.03
15-54	0.05
3-95	0.04
96-132	0.14
93-113	0.16
23-134	0.16
93-95	0.25
55-97	0.32
27-93	0.29
84-120	0.32
93-104	0.03
63-123	0.07
15-27	0.07
76-122	0.08
13-135	0.02
29-81	0.07
58-125	1.2
5-17	0.04
2-158	0.04
23-84	0.06
69-140	0.36
2-153	0.2
3-99	0.04
3-38	0.04
3-6	0.07
22-85	0.07
6-16	0.06
3-148	0.06
84-86	0.05
47-107	0.18
63-84	0.08
3-137	0.07
46-84	0.27
76-95	0.61
17-28	0.05
21-132	0.06
112-139	0.22
21-76	0.08
22-76	0.06
22-81	0.06
13-153	0.01
81-86	0.07
112-134	0.3
10-81	0.05
15-112	0.32
2-157	0.04
31-79	0.07
123-145	0.08
17-63	0.05
4-17	0.05
4-83	0.1
3-121	0.36
43-112	0.45
61-69	0.21
29-76	0.07
29-132	0.07
36-97	0.06
34-97	0.07
53-76	0.1
3-61	0.05
33-107	0.11
2-101	0.03
32-112	0.12
2-60	0.02
25-113	0.03
25-99	0.02
25-159	0.02
44-76	0.25
16-140	0.07
16-139	0.06
84-159	0.72
9-155	0.06
119-155	0.25
18-125	0.65
16-47	0.16
54-113	0.39
79-123	0.07
16-60	0.5
35-107	0.07
85-112	0.08
98-104	0.42
23-93	0.28
70-79	0.1
5-54	0.25
49-83	0.29
93-117	0.2
15-134	0.05
122-132	0.05
9-98	0.06
2-91	0.03
32-54	0.26
112-118	0.23
45-81	0.74
13-73	0.03
49-81	0.18
81-93	0.05
2-26	0.04
3-23	0.04
2-148	0.03
41-54	0.16
119-122	0.14
2-156	0.03
81-122	0.05
9-23	0.07
25-49	0.03
63-93	0.31
31-113	0.53
86-93	0.13
10-132	0.06
78-81	0.09
5-107	0.29
3-55	0.04
16-38	0.26
107-108	0.42
33-83	0.06
36-145	0.74
63-134	0.21
46-83	0.22
44-69	0.3
132-140	0.37
54-118	0.54
31-145	0.29
79-95	0.34
79-134	0.08
9-66	0.43
84-117	0.17
40-84	0.15
9-93	0.05
85-155	0.05
67-97	0.28
104-117	0.84
93-98	0.29
39-69	0.22
69-78	0.35
32-36	0.11
4-69	0.1
63-132	0.17
17-98	0.14
9-26	0.21
36-132	0.09
31-47	0.08
70-120	0.11
83-95	0.06
17-35	0.04
27-83	0.33
67-84	0.09
30-93	0.07
26-69	0.06
6-83	0.34
9-29	0.19
24-125	2.52
4-16	0.41
15-33	0.07
43-97	0.56
28-84	0.07
15-44	0.06
86-118	0.27
29-93	0.19
112-155	0.19
35-70	0.34
70-107	0.07
44-104	0.51
45-97	0.5
76-86	0.21
97-148	0.07
47-118	0.26
36-107	0.08
15-98	0.06
43-81	0.48
15-23	0.07
67-85	0.07
69-112	0.08
20-70	0.15
53-85	0.12
3-53	0.16
95-104	0.22
83-155	0.17
9-41	0.1
17-60	0.25
22-155	0.17
47-84	0.27
16-32	0.08
34-123	0.15
25-137	0.07
31-36	0.09
3-66	0.05
6-97	0.05
20-83	0.07
111-125	0.69
10-70	0.06
17-67	0.05
33-70	0.21
54-104	0.04
118-155	0.44
69-148	0.27
104-112	0.04
3-114	0.08
30-79	0.18
83-112	0.09
17-29	0.05
9-113	0.06
79-107	0.08
23-119	0.08
45-83	0.08
43-93	0.08
26-97	0.19
4-9	0.17
136-160	0.64
6-70	0.06
40-69	0.12
28-70	0.35
33-95	0.2
5-15	0.26
97-155	0.21
35-76	0.18
25-124	0.08
85-120	0.34
81-137	0.07
107-140	0.29
17-45	0.06
22-95	0.17
34-69	0.12
55-81	0.06
51-83	0.06
85-86	0.06
2-137	0.04
10-79	0.19
9-21	0.11
43-76	0.06
16-29	0.06
112-159	0.21
4-79	0.16
35-118	0.42
15-35	0.05
22-119	0.13
9-61	0.06
33-93	0.16
83-159	0.06
15-55	0.19
83-117	0.26
60-132	0.25
85-140	0.22
84-108	0.05
63-112	0.14
54-67	0.21
10-32	0.18
28-97	0.23
10-139	0.18
10-113	0.19
34-36	0.31
31-33	0.17
21-118	0.12
25-126	0.11
3-78	0.05
59-125	0.48
10-155	0.12
31-34	1.15
9-119	0.06
54-159	0.19
55-104	0.17
123-139	0.27
9-63	0.21
6-17	0.11
10-138	0.06
22-32	0.26
67-93	0.13
29-122	0.17
6-10	0.13
76-105	0.08
85-139	0.28
5-69	0.25
84-99	0.23
38-84	0.26
22-54	0.1
72-136	0.18
3-82	0.05
25-116	0.04
79-85	0.16
79-84	0.17
38-76	0.21
2-116	0.09
79-119	0.27
95-155	0.11
16-66	0.08
10-21	0.36
25-42	0.15
132-146	0.11
93-139	0.15
